stat_id	stat_nm	lat	lon	link_id	dist_m
BNBN0990	서울 양천구 보건소	37.517997	126.8505	1140006500	284.21
BNBN0991	서대문구 홍제견인차량보관소	37.5906184	126.9407275	1120001800	36.02
BNBN1023	서울 성북구 개운사	37.590236	127.028217	1070004100	433.62
BNBN1148	서울 양천구 양천보육타운	37.5109748	126.8689609	1140001400	19.77
BPA00006	세우빌딩	37.53	126.92	1180036500	84.5
BPA00009	나인스퀘어	37.5	126.8	1160008700	2060.56
BPA00010	우성르보아위례	37.48	127.14	1230223600	110.34
BPA00011	현대코아아파트상가	37.53	127.13	1240008000	133.09
BT000021	가오리 공영주차장	37.641577	127.014969	1080010700	101.59
BT000083	냉천길 공영주차장	37.623979	127.019532	1080003300	22.89
BT000089	번동햇살 공영주차장	37.625084	127.033404	1080003800	261.81
BT000092	삼양마을공원 공영주차장	37.622739	127.018403	1080002900	103.3
BT000093	송중동 공영주차장	37.611612	127.033636	1080001400	55.9
BT000094	송천동 공영주차장	37.614562	127.025134	1070017400	261.95
BT000095	수유2동 공영주차장	37.646014	127.02187	1080012600	213.51
BT000096	수유마을시장공영주차장	37.630574	127.021873	1080005100	280.26
BT000097	수유일공원공영주차장	37.630562	127.017241	1080004300	63.02
BT000100	오패산 공영주차장	37.622049	127.03116	1080003700	83.2
BT000101	우이동 공영주차장	37.65671	127.011552	1090008100	221.2
BT000102	인수동공영주차장	37.636224	127.018436	1080008400	108.73
BT000112	버티공영주차장	37.54925	127.006333	1020021300	110.46
BT000116	장충공영주차장	37.560107	127.001293	1010003700	156.7
BT000129	언주초등학교 공영주차장	37.48654749	127.0371721	1220010200	171.63
BT000130	도곡초등학교 공영주차장	37.49906117	127.0546703	1220022500	256.76
BT000131	신구초등학교 공영주차장	37.52311907	127.0241859	1220035000	207.51
BT000132	도곡로21길 7 공영주차장	37.49259424	127.03887	1220016600	76.97
BT000133	신창동공영주차장	37.53528972	126.955207	1020011800	60.36
BT000134	전자상가제5공영주차장	37.53334641	126.9623218	1020009700	23.31
BT000135	구산동마을공원 공영주차장	37.61456755	126.9083507	1110013300	126.11
BT000136	탄천2호 공영주차장	37.49413683	127.0876941	1220017500	95.59
BT000137	구룡산제2호 공영주차장	37.47726326	127.066477	1220000400	258.8
BT000138	역삼문화공원 공영주차장	37.50224832	127.0299744	1220023300	365.73
BT000139	대치2문화센터 공영주차장	37.50225695	127.0641673	1220002700	222.16
BT000140	역삼1문화센터 공영주차장	37.49537321	127.0332838	1220019400	137.41
BT000141	영희초등학교 공영주차장	37.4923004	127.0811328	1220017900	77.72
BT000142	언북초등학교 공영주차장	37.52012517	127.0447158	1220032800	260.2
BT000143	개포동공원 공영주차장	37.4897071	127.068291	1220013600	27.48
BT000144	강일동 공영주차장	37.56598207	127.1722779	1240028500	285.95
BT000145	암사1동 공영주차장	37.55270787	127.1379968	1240021100	222.92
BT000146	천호3동 공영주차장	37.53912769	127.1332691	1240010600	140.91
BT000147	안말공영주차장	37.53125722	127.1299156	1240008000	78.02
BT000148	명일동 공영주차장	37.5510407	127.1429044	1240018100	36.11
BT000149	이태원2동 공영주차장	37.54047812	126.9927159	1020016500	235.85
BT000150	전자상가제4공영주차장	37.53408394	126.9613975	1020010500	83.9
BT000151	전자상가제3공영주차장	37.53278886	126.9595585	1020009800	39.04
BT000152	전자상가제2공영주차장	37.5324193	126.9632615	1020008300	47.61
BT000153	전자상가제1공영주차장	37.5324193	126.9632615	1020008300	47.61
BT000154	다산아트공영주차장	37.55163335	127.0043894	1010000400	213.75
BT000155	다산동공영주차장	37.55438215	127.0086094	1020021300	139.73
BT000156	중화 제3공영주차장	37.59661973	127.076068	3201501200	13.44
BT000157	중화 제2공영주차장	37.59786285	127.0746342	3201501300	140.46
BT000158	중화 제1공영주차장	37.59817486	127.0731962	1060013800	114.24
BT000159	중화 제4공영주차장	37.5948241	127.075729	3201501300	76.97
BT000160	중랑역 제2공영주차장	37.5948241	127.075729	3201501300	76.97
