addr	busi_call	busi_id	lat	lng	note	stat_id	stat_nm	year	zcode	zscode
서울특별시 강북구 도봉로98길 33	1661-7766	EV	37.641299579173	127.0315028962	입주민만 사용가능 거주자외 출입제한	EV003054	서울강북 번동삼성아파트	2020	11	11305
서울특별시 구로구 연동로13길 25	1661-7766	EV	37.4843833	126.8205189	입주민만 사용가능 거주자외 출입제한	EV003065	서울수목원현대홈타운스위트110동	2020	11	11530
서울특별시 구로구 연동로13길 25	1661-7766	EV	37.4837878	126.8200003	입주민만 사용가능 거주자외 출입제한	EV003066	서울수목원현대홈타운스위트106동	2020	11	11530
서울특별시 구로구 연동로13길 25	1661-7766	EV	37.4848822	126.8198111	입주민만 사용가능 거주자외 출입제한	EV003067	서울수목원현대홈타운스위트102동	2020	11	11530
서울특별시 강서구 강서로 532	1661-7766	EV	37.5725712	126.8445434	입주민만 사용가능 거주자외 출입제한	EV003068	서울 가양동신대아1주차장	2020	11	11500
서울특별시 강서구 강서로 532	1661-7766	EV	37.5724437	126.8434796	입주민만 사용가능 거주자외 출입제한	EV003069	서울 가양동신대아2주차장	2020	11	11500
서울특별시 강서구 강서로 532	1661-7766	EV	37.5717317	126.843334	입주민만 사용가능 거주자외 출입제한	EV003070	서울 가양동신대아3주차장	2020	11	11500
서울특별시 관악구 관악로 1	1661-7766	EV	37.4533585	126.9571611	입주민만 사용가능 거주자외 출입제한	EV003079	서울대학교교수아파트	2020	11	11620
서울특별시 강남구 선릉로 615	1661-7766	EV	37.5117582	127.0430034	외부인 사용불가	EV003091	SH공사 강남서초센터	2020	11	11680
서울특별시 양천구 오목로5길 19	1661-7766	EV	37.5230829	126.8403927	입주민만 사용가능 거주자 외 출입제한	EV003123	서울 양천롯데캐슬102동	2020	11	11470
서울특별시 양천구 오목로5길 19	1661-7766	EV	37.5233539	126.8409464	입주민만 사용가능 거주자외 출입제한	EV003124	서울 양천롯데캐슬202동	2020	11	11470
